,date,open,high,low,close,volume,average,barCount
0,2022-10-31 09:00:00,80.031,80.031,79.931,79.931,30.0,79.9643,3
1,2022-10-31 10:00:00,79.931,79.931,79.931,79.931,0.0,79.931,0
2,2022-10-31 11:00:00,79.921,80.721,79.921,79.921,48.0,80.1877,3
3,2022-10-31 12:00:00,79.921,79.921,79.921,79.921,0.0,79.921,0
4,2022-10-31 13:00:00,79.837,79.837,79.837,79.837,19.0,79.837,1
5,2022-10-31 14:00:00,79.837,79.837,79.837,79.837,0.0,79.837,0
6,2022-10-31 15:00:00,79.274,79.274,78.875,78.875,15.0,79.008,3
7,2022-10-31 16:00:00,79.679,79.679,79.679,79.679,10.0,79.679,1
8,2022-11-01 08:00:00,80.407,80.407,79.724,79.724,1210.0,80.4014,2
9,2022-11-01 09:00:00,79.724,79.724,79.724,79.724,0.0,79.724,0
10,2022-11-01 10:00:00,79.724,79.724,79.724,79.724,0.0,79.724,0
11,2022-11-01 11:00:00,79.216,79.216,79.216,79.216,2.0,79.216,1
12,2022-11-01 12:00:00,79.971,79.971,79.971,79.971,734.0,79.971,1
13,2022-11-01 13:00:00,79.628,79.628,79.447,79.447,318.0,79.6179,9
14,2022-11-01 14:00:00,80.06,80.069,79.96,80.069,360.0,80.0312,6
15,2022-11-01 15:00:00,79.99,80.041,79.99,80.026,150.0,80.0239,12
16,2022-11-01 16:00:00,80.026,80.026,80.026,80.026,0.0,80.026,0
17,2022-11-02 09:00:00,79.853,79.893,79.853,79.853,100.0,79.873,4
18,2022-11-02 10:00:00,79.853,79.853,79.853,79.853,0.0,79.853,0
19,2022-11-02 11:00:00,79.99,79.99,79.437,79.437,43.0,79.8228,4
20,2022-11-02 12:00:00,80.029,80.129,80.029,80.129,30.0,80.0623,3
21,2022-11-02 13:00:00,80.129,80.129,80.129,80.129,0.0,80.129,0
22,2022-11-02 14:00:00,80.129,80.129,80.129,80.129,0.0,80.129,0
23,2022-11-02 15:00:00,80.129,80.129,80.129,80.129,0.0,80.129,0
24,2022-11-02 16:00:00,80.129,80.129,80.129,80.129,0.0,80.129,0
25,2022-11-03 08:00:00,79.534,79.534,79.534,79.534,25.0,79.534,1
26,2022-11-03 09:00:00,79.15,79.15,79.15,79.15,86.0,79.15,2
27,2022-11-03 10:00:00,79.15,79.15,79.15,79.15,0.0,79.15,0
28,2022-11-03 11:00:00,78.9,79.774,78.9,79.774,3535.0,79.2543,7
29,2022-11-03 12:00:00,79.542,79.542,79.542,79.542,20.0,79.542,2
30,2022-11-03 13:00:00,78.951,78.951,78.951,78.951,5000.0,78.951,1
31,2022-11-03 14:00:00,79.728,79.728,79.728,79.728,30.0,79.728,2
32,2022-11-03 15:00:00,78.635,79.701,78.635,79.701,550.0,78.7319,3
33,2022-11-03 16:00:00,79.701,79.701,79.701,79.701,0.0,79.701,0
34,2022-11-04 12:00:00,79.707,79.707,79.707,79.707,20.0,79.707,2
35,2022-11-04 13:00:00,79.707,79.707,79.707,79.707,0.0,79.707,0
36,2022-11-04 14:00:00,79.707,79.707,79.707,79.707,0.0,79.707,0
37,2022-11-04 15:00:00,79.707,79.707,79.707,79.707,0.0,79.707,0
38,2022-11-04 16:00:00,79.707,79.707,79.707,79.707,0.0,79.707,0
39,2022-11-07 12:00:00,79.107,79.107,79.107,79.107,9.0,79.107,1
40,2022-11-07 13:00:00,79.107,79.107,79.107,79.107,0.0,79.107,0
41,2022-11-07 14:00:00,79.167,79.267,79.167,79.167,30.0,79.2003,3
42,2022-11-07 15:00:00,79.167,79.167,79.167,79.167,0.0,79.167,0
43,2022-11-07 16:00:00,79.184,79.184,79.132,79.132,200.0,79.158,2
44,2022-11-08 09:00:00,79.312,79.312,79.312,79.312,200.0,79.312,1
45,2022-11-08 10:00:00,79.403,79.419,79.388,79.388,870.0,79.4,4
46,2022-11-08 11:00:00,79.533,79.533,79.533,79.533,255.0,79.533,3
47,2022-11-08 12:00:00,79.533,79.533,79.533,79.533,0.0,79.533,0
48,2022-11-08 13:00:00,79.306,79.696,79.306,79.696,31.0,79.5471,4
49,2022-11-08 14:00:00,79.696,79.696,79.696,79.696,0.0,79.696,0
50,2022-11-08 15:00:00,80.91,80.91,79.833,79.833,6.0,80.3715,2
51,2022-11-08 16:00:00,79.282,79.282,79.282,79.282,9.0,79.282,1
52,2022-11-09 09:00:00,79.333,79.333,79.333,79.333,60.0,79.333,3
53,2022-11-09 10:00:00,79.323,80.182,79.323,80.159,46.0,79.4335,3
54,2022-11-09 11:00:00,80.159,80.159,80.159,80.159,0.0,80.159,0
55,2022-11-09 12:00:00,80.159,80.159,80.159,80.159,0.0,80.159,0
56,2022-11-09 13:00:00,79.282,79.282,79.282,79.282,8.0,79.282,1
57,2022-11-09 14:00:00,80.06,81.06,80.06,81.06,60.0,80.3933,3
58,2022-11-09 15:00:00,78.846,78.846,78.846,78.846,42.0,78.846,2
59,2022-11-09 16:00:00,78.846,78.846,78.846,78.846,0.0,78.846,0
60,2022-11-10 11:00:00,80.906,81.027,80.906,81.027,66.0,80.9977,2
61,2022-11-10 12:00:00,81.027,81.027,81.027,81.027,0.0,81.027,0
62,2022-11-10 13:00:00,81.027,81.027,81.027,81.027,0.0,81.027,0
63,2022-11-10 14:00:00,81.395,81.795,81.395,81.795,30.0,81.595,2
64,2022-11-10 15:00:00,82.607,82.607,81.424,81.424,50.0,82.0155,2
65,2022-11-10 16:00:00,81.165,81.165,81.112,81.112,300.0,81.1385,2
66,2022-11-14 09:00:00,80.661,80.661,80.661,80.661,6.0,80.661,1
67,2022-11-14 10:00:00,80.661,80.661,80.661,80.661,0.0,80.661,0
68,2022-11-14 11:00:00,80.909,80.909,80.909,80.909,14.0,80.909,1
69,2022-11-14 12:00:00,80.876,80.876,80.876,80.876,8.0,80.876,1
70,2022-11-14 13:00:00,80.876,80.876,80.876,80.876,0.0,80.876,0
71,2022-11-14 14:00:00,80.876,80.876,80.876,80.876,0.0,80.876,0
72,2022-11-14 15:00:00,81.259,81.259,81.259,81.259,100.0,81.259,1
73,2022-11-14 16:00:00,80.864,80.864,80.864,80.864,300.0,80.864,1
74,2022-11-15 10:00:00,81.455,81.455,81.455,81.455,20.0,81.455,2
75,2022-11-15 11:00:00,81.776,81.776,81.683,81.683,20.0,81.7295,2
76,2022-11-15 12:00:00,80.955,81.569,80.955,81.561,5720.0,81.0318,3
77,2022-11-15 13:00:00,81.155,81.155,81.155,81.155,9.0,81.155,1
78,2022-11-15 14:00:00,81.214,81.214,81.2,81.2,28.0,81.212,2
79,2022-11-15 15:00:00,81.643,81.643,81.193,81.193,4353.0,81.1954,3
80,2022-11-15 16:00:00,81.153,81.153,81.153,81.153,205.0,81.153,1
81,2022-11-16 09:00:00,81.491,81.491,81.43,81.43,15.0,81.4707,3
82,2022-11-16 10:00:00,80.121,81.909,80.081,81.909,57.0,80.8485,6
83,2022-11-16 11:00:00,81.348,81.348,81.348,81.348,1075.0,81.348,1
84,2022-11-16 12:00:00,81.157,81.157,81.157,81.157,13.0,81.157,1
85,2022-11-16 13:00:00,81.307,81.307,81.307,81.307,5000.0,81.307,1
86,2022-11-16 14:00:00,81.956,82.98,81.956,82.98,50.0,82.468,2
87,2022-11-16 15:00:00,81.459,81.772,81.459,81.691,377.0,81.5068,5
88,2022-11-16 16:00:00,82.165,82.165,82.08,82.08,24.0,82.1225,2
89,2022-11-17 09:00:00,81.541,81.541,81.039,81.039,120.0,81.2063,5
90,2022-11-17 10:00:00,81.239,81.239,80.939,80.941,540.0,80.9796,4
91,2022-11-17 11:00:00,80.941,80.941,80.941,80.941,0.0,80.941,0
92,2022-11-17 12:00:00,80.941,80.941,80.941,80.941,0.0,80.941,0
93,2022-11-17 13:00:00,80.941,80.941,80.941,80.941,0.0,80.941,0
94,2022-11-17 14:00:00,81.303,81.303,81.303,81.303,48.0,81.303,3
95,2022-11-17 15:00:00,81.026,81.026,81.026,81.026,300.0,81.026,1
96,2022-11-17 16:00:00,81.079,81.079,81.079,81.079,160.0,81.079,1
97,2022-11-18 08:00:00,81.018,81.018,81.018,81.018,350.0,81.018,1
98,2022-11-18 09:00:00,81.482,81.482,81.482,81.482,40.0,81.482,2
99,2022-11-18 10:00:00,81.061,81.061,81.045,81.045,46.0,81.053,2
100,2022-11-18 11:00:00,81.528,81.728,81.245,81.245,530.0,81.2522,17
101,2022-11-18 12:00:00,81.32,81.32,81.32,81.32,60.0,81.32,2
102,2022-11-18 13:00:00,81.32,81.32,81.32,81.32,0.0,81.32,0
103,2022-11-18 14:00:00,81.357,81.607,81.357,81.607,8.0,81.482,2
104,2022-11-18 15:00:00,81.607,81.607,81.607,81.607,0.0,81.607,0
105,2022-11-18 16:00:00,81.319,82.335,81.312,81.572,288.0,81.592,9
106,2022-11-21 08:00:00,80.936,81.545,80.936,81.445,270.0,81.177,4
