,date,open,high,low,close,volume,average,barCount
0,2022-10-31 09:00:00,67.025,67.025,67.025,67.025,105.0,67.025,1
1,2022-10-31 10:00:00,68.685,70.058,65.684,66.0,6300.0,67.8129,14
2,2022-10-31 11:00:00,68.0,69.0,66.0,66.0,2012.0,68.4851,4
3,2022-10-31 12:00:00,67.52,67.52,65.8,67.0,490.0,66.7057,5
4,2022-10-31 13:00:00,65.9,66.0,63.44,63.44,580.0,65.171,5
5,2022-10-31 14:00:00,63.44,63.44,63.44,63.44,0.0,63.44,0
6,2022-10-31 15:00:00,63.44,63.44,63.44,63.44,0.0,63.44,0
7,2022-10-31 16:00:00,63.44,63.44,63.44,63.44,0.0,63.44,0
8,2022-11-01 11:00:00,64.312,64.512,64.312,64.512,200.0,64.412,4
9,2022-11-01 12:00:00,67.02,68.02,67.02,68.02,62.0,67.52,2
10,2022-11-01 13:00:00,64.312,64.512,64.312,64.512,150.0,64.412,2
11,2022-11-01 14:00:00,66.5,66.5,66.5,66.5,120.0,66.5,1
12,2022-11-01 15:00:00,67.04,67.04,67.04,67.04,110.0,67.04,1
13,2022-11-01 16:00:00,67.04,67.04,67.04,67.04,0.0,67.04,0
14,2022-11-02 10:00:00,64.5,66.89,64.5,66.89,900.0,65.2482,5
15,2022-11-02 11:00:00,66.87,66.87,66.87,66.87,28.0,66.87,2
16,2022-11-02 12:00:00,64.212,64.512,64.212,64.512,50.0,64.362,2
17,2022-11-02 13:00:00,64.512,64.512,64.512,64.512,0.0,64.512,0
18,2022-11-02 14:00:00,64.487,64.787,64.4,64.4,125.0,64.4948,3
19,2022-11-02 15:00:00,64.4,64.4,64.4,64.4,810.0,64.4,10
20,2022-11-02 16:00:00,66.52,67.52,66.52,67.52,28.0,67.02,2
21,2022-11-03 12:00:00,64.94,65.315,64.94,65.315,1000.0,65.1275,2
22,2022-11-03 13:00:00,65.315,65.315,65.315,65.315,0.0,65.315,0
