,date,open,high,low,close,volume,average,barCount
0,2022-10-31 13:00:00,68.836,69.187,68.836,69.176,300.0,68.9523,3
1,2022-10-31 14:00:00,69.176,69.176,69.176,69.176,0.0,69.176,0
2,2022-10-31 15:00:00,68.608,68.608,68.608,68.608,50.0,68.608,1
3,2022-10-31 16:00:00,68.621,68.621,68.621,68.621,1050.0,68.621,2
4,2022-11-01 13:00:00,68.981,68.981,68.919,68.919,400.0,68.95,2
5,2022-11-01 14:00:00,68.919,68.919,68.919,68.919,0.0,68.919,0
6,2022-11-01 15:00:00,68.791,68.791,68.553,68.553,1070.0,68.5752,3
7,2022-11-01 16:00:00,68.553,68.553,68.553,68.553,0.0,68.553,0
8,2022-11-03 11:00:00,67.722,67.722,67.722,67.722,5000.0,67.722,1
9,2022-11-03 12:00:00,67.722,67.722,67.722,67.722,0.0,67.722,0
10,2022-11-03 13:00:00,67.781,67.781,67.781,67.781,5000.0,67.781,1
11,2022-11-03 14:00:00,67.781,67.781,67.781,67.781,0.0,67.781,0
12,2022-11-03 15:00:00,67.781,67.781,67.781,67.781,0.0,67.781,0
13,2022-11-03 16:00:00,67.686,67.686,67.686,67.686,3352.0,67.686,1
14,2022-11-04 13:00:00,67.806,67.837,67.806,67.837,106.0,67.8215,2
15,2022-11-04 14:00:00,67.837,67.837,67.837,67.837,0.0,67.837,0
16,2022-11-04 15:00:00,67.837,67.837,67.837,67.837,0.0,67.837,0
17,2022-11-04 16:00:00,67.837,67.837,67.837,67.837,0.0,67.837,0
18,2022-11-07 10:00:00,67.038,67.038,67.038,67.038,1900.0,67.038,1
19,2022-11-07 11:00:00,67.038,67.038,67.038,67.038,0.0,67.038,0
20,2022-11-07 12:00:00,67.038,67.038,67.038,67.038,0.0,67.038,0
21,2022-11-07 13:00:00,67.964,68.04,67.864,67.94,180.0,67.9731,4
22,2022-11-07 14:00:00,67.94,67.94,67.94,67.94,0.0,67.94,0
23,2022-11-07 15:00:00,67.853,67.853,67.853,67.853,150.0,67.853,3
24,2022-11-07 16:00:00,67.853,67.853,67.853,67.853,0.0,67.853,0
25,2022-11-08 10:00:00,68.271,68.297,68.271,68.297,60.0,68.284,2
26,2022-11-08 11:00:00,68.297,68.297,68.297,68.297,0.0,68.297,0
27,2022-11-08 12:00:00,68.297,68.297,68.297,68.297,0.0,68.297,0
28,2022-11-08 13:00:00,68.297,68.297,68.297,68.297,0.0,68.297,0
29,2022-11-08 14:00:00,68.297,68.297,68.297,68.297,0.0,68.297,0
30,2022-11-08 15:00:00,68.297,68.297,68.297,68.297,0.0,68.297,0
31,2022-11-08 16:00:00,68.297,68.297,68.297,68.297,0.0,68.297,0
32,2022-11-09 15:00:00,68.408,68.656,68.408,68.656,120.0,68.4493,2
33,2022-11-09 16:00:00,68.656,68.656,68.656,68.656,0.0,68.656,0
34,2022-11-10 11:00:00,70.751,70.851,70.751,70.751,150.0,70.7843,3
35,2022-11-10 12:00:00,70.751,70.751,70.751,70.751,0.0,70.751,0
36,2022-11-10 13:00:00,70.751,70.751,70.751,70.751,0.0,70.751,0
37,2022-11-10 14:00:00,70.751,70.751,70.751,70.751,0.0,70.751,0
38,2022-11-10 15:00:00,72.542,72.542,71.33,71.33,60.0,71.936,2
39,2022-11-10 16:00:00,71.33,71.33,71.33,71.33,0.0,71.33,0
40,2022-11-14 10:00:00,70.171,70.171,70.171,70.171,1300.0,70.171,1
41,2022-11-14 11:00:00,70.693,70.793,70.693,70.693,213.0,70.7263,3
42,2022-11-14 12:00:00,70.693,70.693,70.693,70.693,0.0,70.693,0
43,2022-11-14 13:00:00,71.907,71.907,70.874,70.874,20.0,71.3905,2
44,2022-11-14 14:00:00,70.874,70.874,70.874,70.874,0.0,70.874,0
45,2022-11-14 15:00:00,70.874,70.874,70.874,70.874,0.0,70.874,0
46,2022-11-14 16:00:00,70.874,70.874,70.874,70.874,0.0,70.874,0
47,2022-11-15 11:00:00,71.181,71.181,71.181,71.181,60.0,71.181,3
48,2022-11-15 12:00:00,71.642,71.642,71.309,71.309,6.0,71.4755,2
49,2022-11-15 13:00:00,70.96,70.96,70.96,70.96,60.0,70.96,2
50,2022-11-15 14:00:00,70.96,70.96,70.96,70.96,0.0,70.96,0
