,date,open,high,low,close,volume,average,barCount
0,2022-10-31 09:00:00,67.325,67.325,66.2,66.2,113.0,67.2951,2
1,2022-10-31 10:00:00,66.2,66.2,66.2,66.2,83.0,66.2,3
2,2022-10-31 11:00:00,68.466,68.466,67.466,67.856,114.0,67.9525,4
3,2022-10-31 12:00:00,66.167,68.656,66.167,67.39,926.0,67.6381,8
4,2022-10-31 13:00:00,67.631,68.531,67.47,67.47,230.0,67.6028,5
5,2022-10-31 14:00:00,66.21,66.21,66.21,66.21,20.0,66.21,2
6,2022-10-31 15:00:00,67.705,68.99,65.343,66.2,231.0,67.1472,22
7,2022-10-31 16:00:00,68.457,69.087,67.557,69.087,50.0,68.655,3
8,2022-11-01 09:00:00,66.46,66.46,66.46,66.46,4.0,66.46,2
9,2022-11-01 10:00:00,66.853,66.853,66.397,66.397,65.0,66.7478,2
10,2022-11-01 11:00:00,67.75,68.843,66.41,68.843,210.0,67.6686,7
11,2022-11-01 12:00:00,68.843,68.843,68.843,68.843,0.0,68.843,0
12,2022-11-01 13:00:00,68.843,68.843,67.843,67.843,150.0,68.343,2
13,2022-11-01 14:00:00,66.437,66.437,66.437,66.437,20.0,66.437,5
14,2022-11-01 15:00:00,67.444,67.6,66.55,66.55,45.0,67.1901,7
15,2022-11-01 16:00:00,66.55,66.55,66.55,66.55,0.0,66.55,0
16,2022-11-02 10:00:00,67.892,67.892,67.892,67.892,60.0,67.892,1
17,2022-11-02 11:00:00,66.534,66.534,65.5,66.36,52.0,66.2907,8
18,2022-11-02 12:00:00,65.25,65.25,65.025,65.025,16.0,65.1375,2
19,2022-11-02 13:00:00,67.625,68.625,67.625,68.625,50.0,68.125,2
20,2022-11-02 14:00:00,67.8,68.8,67.8,68.8,50.0,68.3,2
21,2022-11-02 15:00:00,66.493,69.384,65.75,67.0,427.0,67.6554,14
22,2022-11-02 16:00:00,64.985,64.985,64.985,64.985,8.0,64.985,1
23,2022-11-03 10:00:00,65.907,65.98,65.907,65.98,234.0,65.9435,2
24,2022-11-03 11:00:00,65.69,65.69,65.69,65.69,13.0,65.69,1
25,2022-11-03 12:00:00,65.17,65.17,64.534,64.534,1000.0,64.7219,4
26,2022-11-03 13:00:00,63.779,68.625,63.779,68.625,32.0,68.3221,2
27,2022-11-03 14:00:00,67.0,67.0,64.023,64.023,87.0,65.7339,2
28,2022-11-03 15:00:00,66.937,66.937,63.796,63.796,96.0,66.4981,16
29,2022-11-03 16:00:00,64.023,66.82,64.023,66.82,450.0,64.3338,3
30,2022-11-04 11:00:00,64.0,64.0,64.0,64.0,6.0,64.0,2
