,date,open,high,low,close,volume,average,barCount
0,2022-10-31 11:00:00,95.285,95.285,95.285,95.285,50.0,95.285,2
1,2022-10-31 12:00:00,95.285,95.285,95.285,95.285,0.0,95.285,0
2,2022-10-31 13:00:00,95.285,95.285,95.285,95.285,0.0,95.285,0
3,2022-10-31 14:00:00,94.944,94.954,94.944,94.954,82.0,94.949,2
4,2022-10-31 15:00:00,94.954,94.954,94.954,94.954,0.0,94.954,0
5,2022-10-31 16:00:00,94.513,94.513,94.513,94.513,50.0,94.513,1
6,2022-11-01 11:00:00,95.035,95.035,94.98,94.98,50.0,95.0075,2
7,2022-11-01 12:00:00,94.98,94.98,94.98,94.98,0.0,94.98,0
8,2022-11-01 13:00:00,94.98,94.98,94.98,94.98,0.0,94.98,0
9,2022-11-01 14:00:00,94.98,94.98,94.98,94.98,0.0,94.98,0
10,2022-11-01 15:00:00,95.379,95.379,95.179,95.179,10.0,95.279,2
11,2022-11-01 16:00:00,94.784,94.784,94.784,94.784,75.0,94.784,1
12,2022-11-02 11:00:00,95.243,95.243,95.243,95.243,62.0,95.243,2
13,2022-11-02 12:00:00,95.204,95.504,95.204,95.261,50.0,95.3168,4
14,2022-11-02 13:00:00,94.945,94.945,94.945,94.945,54.0,94.945,5
15,2022-11-02 14:00:00,95.198,95.348,95.198,95.348,150.0,95.298,3
16,2022-11-02 15:00:00,95.348,95.348,95.348,95.348,0.0,95.348,0
17,2022-11-02 16:00:00,94.35,94.35,94.35,94.35,268.0,94.35,1
18,2022-11-03 08:00:00,94.917,94.917,94.917,94.917,400.0,94.917,1
19,2022-11-03 09:00:00,94.917,94.917,94.917,94.917,0.0,94.917,0
20,2022-11-03 10:00:00,95.029,95.135,95.019,95.135,450.0,95.0229,6
21,2022-11-03 11:00:00,95.135,95.135,95.135,95.135,0.0,95.135,0
22,2022-11-03 12:00:00,94.676,94.731,94.676,94.731,50.0,94.7035,2
23,2022-11-03 13:00:00,94.731,94.731,94.731,94.731,0.0,94.731,0
24,2022-11-03 14:00:00,94.57,94.57,94.57,94.57,4.0,94.57,2
25,2022-11-03 15:00:00,95.692,95.692,95.075,95.075,45.0,95.2807,3
